LULC,"Latitude              (deg-decimal, N)","Longitude          (deg-decimal, E)",Moisture Reading,Elevation (in m above MSL),Sigma0_VH_db (19.01.2024),Sigma0_VV_db (19.01.2024),Sigma0_VH_db (31.01.2024),Sigma0_VV_db (31.01.2024),Sigma0_VH_db (12.02.2024),Sigma0_VV_db (12.02.2024),MPDI(31.1.24),RVI(31.1.24)
Rajma field,30.44203278,77.69321389,20.5,391.8,-17.38,-9.06,-17.47,-9.65,-14.84,-8.27,-0.288348083,2.576696165
Rajma field,30.44100556,77.69152222,15,391.8,-17.23,-10.96,-19.23,-10.9,-14.66,-9.55,-0.276468636,2.552937272
Rajma field,30.44111256,77.69149022,17,391.8,-17.23,-10.96,-19.23,-10.9,-14.66,-9.55,-0.276468636,2.552937272
Rajma field,30.34100556,77.59152222,15.8,391.8,-17.23,-10.96,-19.23,-10.9,-14.66,-9.55,-0.276468636,2.552937272
Wheat field,30.52553056,77.38493611,7.8,557.98,-17.85,-11.23,-17.37,-10.86,-15.04,-10.11,-0.230605739,2.461211477
Wheat field,30.42553056,77.28493611,8.7,557.98,-17.85,-11.23,-17.37,-10.86,-15.04,-10.11,-0.230605739,2.461211477
Wheat field,30.33353056,77.22293611,6.5,557.98,-17.85,-11.23,-17.37,-10.86,-15.04,-10.11,-0.230605739,2.461211477
Wheat field,30.45353056,77.24393611,14,557.98,-17.85,-11.23,-17.37,-10.86,-15.04,-10.11,-0.230605739,2.461211477
Wheat field,30.52551944,77.384475,21.5,542.65,-16.73,-11.28,-16.74,-9.84,-17.33,-9.01,-0.259593679,2.519187359
Wheat field,30.48551874,77.299475,15.6,542.65,-16.73,-11.28,-16.74,-9.84,-17.33,-9.01,-0.259593679,2.519187359
Wheat field,30.47951944,77.275475,20.3,542.65,-16.73,-11.28,-16.74,-9.84,-17.33,-9.01,-0.259593679,2.519187359
Wheat field,30.47851944,77.342475,19.8,542.65,-16.73,-11.28,-16.74,-9.84,-17.33,-9.01,-0.259593679,2.519187359
Wheat field,30.52556389,77.38460833,18.6,543.69,-16.5,-10.74,-16.92,-11.08,-18.08,-10.16,-0.208571429,2.417142857
Wheat field,30.47956389,77.35660833,23.6,543.69,-16.5,-10.74,-16.92,-11.08,-18.08,-10.16,-0.208571429,2.417142857
Wheat field,30.47956389,77.32160833,25,543.69,-16.5,-10.74,-16.92,-11.08,-18.08,-10.16,-0.208571429,2.417142857
Wheat field,30.52568889,77.38609444,23.2,556.68,-14.11,-9.85,-11.77,-11.19,-14.46,-10.32,-0.025261324,2.050522648
Wheat field,30.62568889,77.28609444,15.5,556.68,-14.11,-9.85,-11.77,-11.19,-14.46,-10.32,-0.025261324,2.050522648
Wheat field,30.52768889,77.37109444,18.6,556.68,-14.11,-9.85,-11.77,-11.19,-14.46,-10.32,-0.025261324,2.050522648
Wheat field,30.52586111,77.38496944,12.8,561.29,-17.52,-11.76,-17.82,-11.99,-18.38,-12.96,-0.195571956,2.391143911
